Longitude,Latitude,VE  AUS,VN  AUS,σE,σN
167.678,-45.763,-25.42,-12.34,1.18,1.16
172.723,-40.511,-2.34,-0.49,0.81,0.76
171.305,-42.873,-11.84,-2.37,0.47,0.48
167.859,-45.197,-24.06,-5.91,1.24,1.67
170.125,-45.564,-29.49,-11.87,1.28,0.88
174.726,-38.302,-2.38,-1.12,0.94,0.82
175.575,-41.327,-31.4,-10.15,0.45,0.44
175.211,-41.272,-29.39,-9.45,0.96,1.32
175.265,-41.346,-33.18,-9.81,0.94,1.16
175.237,-41.604,-32.62,-9.57,0.45,0.43
170.597,-45.883,-29.38,-11.62,0.75,0.68
173.823,-40.963,-7.88,-1.15,0.51,0.47
174.963,-41.284,-25.45,-7.96,1.35,1.26
174.913,-41.249,-26.18,-7.41,1.08,0.85
171.389,-42.888,-12.38,-2.84,0.59,0.71
174.715,-41.284,-21.53,-6.2,1.68,1.04
174.836,-41.22,-19.88,-5.6,1.99,2.08
174.814,-41.198,-21.14,-6.77,2.02,1.2
174.799,-41.191,-20.06,-6.31,1.4,1.14
169.368,-45.217,-29.39,-11.6,1.02,0.71
170.725,-43.165,-14.89,-2.18,0.57,0.71
175.585,-41.062,-26.14,-11.3,3.06,1.52
175.982,-41.058,-27.4,-10.83,0.6,0.74
171.907,-43.043,-25.12,-9.56,0.44,0.46
175.102,-41.038,-20.23,-6.98,0.41,0.53
167.924,-44.673,-20.97,-6.12,0.54,0.56
175,-37.589,-0.29,-1.15,0.37,0.4
170.241,-45.139,-29.74,-11.81,0.75,0.68
175.885,-40.779,-25.14,-9.98,0.52,0.51
170.995,-45.067,-32.6,-12.94,0.82,1.59
169.898,-44.933,-29.33,-11.87,0.78,0.7
175.667,-40.946,-25.39,-10.39,0.53,0.52
175.893,-41.251,-30.06,-10.42,0.49,0.49
168.726,-44.737,-25.04,-9.68,1.13,1.22
175.273,-40.546,-13.71,-4.41,0.57,0.66
176.226,-40.567,-24.87,-10.79,0.67,0.56
175.774,-40.785,-24.08,-10.18,0.49,0.48
177.672,-37.739,4.41,-15.97,0.64,0.59
176.671,-39.345,-0.01,-15.09,0.65,0.73
176.588,-39.408,-0.9,-14.38,0.54,0.68
178.05,-37.684,4.08,-16.84,0.81,0.79
176.558,-40.487,-21.39,-13.91,0.68,0.52
175.835,-40.336,-15.32,-7,0.91,0.52
173.544,-41.742,-14.08,-2.66,0.52,0.47
175.396,-40.206,-9.82,-4.54,0.72,0.57
178.319,-37.596,5.18,-17.94,0.58,0.52
178.548,-37.689,8.93,-18.76,0.68,0.79
177.594,-39.04,-0.27,-20,0.73,0.84
177.856,-39.034,-2.1,-19.63,0.8,0.62
173.868,-39.459,-1.44,-0.88,0.66,0.58
175.116,-40.749,-15.69,-5.42,0.45,0.47
175.782,-39.828,-4.12,-6.15,0.85,0.52
175.256,-40.812,-17.76,-6.35,0.63,0.44
175.162,-40.932,-19.03,-6.96,0.42,0.51
176.929,-39.945,-7.25,-18.09,0.8,0.71
174.768,-39.095,-1.98,-2.51,1.03,0.79
176.188,-40.785,-26.75,-9.92,0.46,0.49
173.946,-41.852,-21.44,-7.35,0.39,0.54
176.255,-39.426,-0.22,-9.21,0.64,0.69
175.764,-38.991,1.7,-5.55,1.8,1.25
174.779,-41.342,-23.61,-8.37,1.11,0.99
176.937,-39.333,-0.93,-16.82,0.51,0.72
177.286,-39.001,-0.35,-16.98,1.66,2.18
176.919,-39.138,1.27,-16.35,0.65,0.67
176.667,-39.501,-2.17,-14.57,1.55,1.56
176.727,-39.617,-4.32,-13.43,1.88,2.54
176.948,-39.653,-7.22,-14.56,0.48,0.59
176.393,-37.863,2.2,-4.55,1.91,1.47
175.24,-40.589,-14.46,-4.74,0.42,0.41
175.358,-40.574,-15.64,-5.19,0.73,0.63
169.07,-43.951,-13.75,-3.1,1.22,0.96
169.147,-43.9,-12.84,-3.27,0.47,0.5
175.785,-40.568,-20.17,-8.25,0.49,0.54
172.28,-40.873,-2.91,0.22,0.43,0.49
177.212,-37.992,5.65,-16.25,1.41,1.02
175.346,-40.313,-10.3,-4.36,0.54,0.54
175.687,-40.288,-13,-5.53,0.69,0.7
175.856,-40.454,-18.75,-7.85,0.71,0.71
176.644,-39.775,-8.38,-12.29,0.77,0.57
176.702,-39.93,-11.79,-12.35,0.74,0.64
176.998,-39.773,-3.97,-18.19,0.67,0.59
172.621,-40.877,-3.58,0.51,0.42,0.48
172.85,-40.934,-4.35,0.36,0.42,0.42
176.081,-40.421,-19.37,-10.41,0.45,0.75
176.273,-40.45,-21.01,-11.59,0.8,0.78
175.342,-40.127,-7.64,-4.07,0.71,0.57
177.876,-38.887,1.13,-19.25,1.48,0.84
177.596,-38.83,-0.78,-17.6,0.56,0.69
176.571,-40.111,-12.89,-13.21,0.55,0.59
178.227,-37.751,3.3,-19.11,0.62,0.68
178.081,-37.861,3.43,-15.63,0.6,0.68
177.119,-38.805,2.73,-16.24,0.71,0.71
177.382,-38.754,3.28,-16.2,1,0.93
176.986,-38.945,2.54,-16.05,0.82,0.69
172.509,-41.425,-5.57,0.48,0.46,0.49
176.26,-39.784,-6.71,-10.56,0.98,0.94
176.198,-39.92,-7.87,-9.72,0.83,0.59
172.239,-41.406,-4.08,0.89,0.51,0.58
172.603,-41.035,-4.19,0.31,0.44,0.4
173.231,-42.844,-31.7,-11.56,0.62,0.64
172.379,-41.241,-3.67,-0.15,0.44,0.43
175.557,-39.495,-1.21,-3.3,0.75,0.56
175.093,-39.93,-4.97,-2.6,0.65,0.69
175.492,-39.954,-3.29,-4.99,2.25,1.37
173.132,-41.493,-7.89,-0.03,0.47,0.47
176.1,-39.547,-1.12,-8.73,0.79,0.7
172.672,-40.713,-2.92,0.23,0.58,0.54
177.525,-38.557,1.43,-17.27,0.79,1
177.392,-38.622,1.98,-16.91,0.79,0.9
177.594,-38.694,0.2,-17.07,0.78,0.77
177.762,-38.702,-0.22,-16.41,0.92,0.64
175.213,-39.692,-2.38,-2.71,0.72,0.57
174.994,-39.535,-0.95,-3.14,0.75,0.69
174.702,-39.578,-1.1,-2.45,0.74,0.73
173.855,-39.241,-1.53,-0.49,0.58,0.61
173.696,-41.41,-9.82,-1.55,0.53,0.48
176.061,-38.732,6.03,-6.42,0.87,0.63
176.734,-38.376,4.15,-11.76,0.65,0.66
176.827,-38.376,1.65,-12.79,1.27,0.94
178.135,-38.011,4.17,-17.17,0.66,0.56
178.13,-38.179,3.12,-18.65,0.85,0.95
178.217,-38.206,4.94,-19.44,0.49,0.44
175.448,-39.435,-0.23,-3.64,0.77,0.6
175.644,-39.386,-0.15,-4.52,0.85,0.76
175.728,-39.406,0.81,-5.31,0.87,0.84
175.905,-39.408,0.26,-6.47,0.79,0.66
176.098,-38.32,5.81,-8.71,1.93,1.74
176.169,-38.314,5.42,-7.37,1.08,0.74
176.214,-38.329,3.55,-7.77,1.45,1.24
176.138,-38.302,7.05,-8.87,1.98,1.77
176.018,-38.36,6.35,-6.89,1.52,1.32
176.158,-38.364,6.72,-9.75,2.12,1.69
176.301,-38.338,1.52,-4.26,0.93,0.86
176.288,-38.352,0.71,-4.69,0.85,0.86
176.411,-38.469,1.75,-7.48,1,1.19
